sightline,rv_pub,rv_pub_err
Sk 66 19,3.44,0.21
Sk 66 88,3.67,0.19
Sk 67 2,3.62,0.35
Sk 68 23,3.35,0.13
Sk 68 26,3.43,0.24
Sk 68 129,3.36,0.3
Sk 69 108,3.15,0.16
Sk 69 210,3.32,0.12
Sk 69 213,3.96,0.36
