sightline,rv_pub,rv_pub_err
Sk 68 140,3.27,0.24
Sk 68 155,2.83,0.23
Sk 69 228,3.35,0.33
Sk 69 256,0.64,0.19
Sk 69 265,1.68,0.19
Sk 69 270,2.34,0.22
Sk 69 279,3.33,0.26
Sk 69 280,3.12,0.27
Sk 70 116,3.41,0.27
