x,axav,err
0.455,0.03,0.003
0.606,0.186,0.02
0.8,0.257,0.013
1.818,1.0,0.048
2.273,1.293,0.113
2.703,1.518,0.046
3.375,1.786,0.127
3.625,1.969,0.123
3.875,2.149,0.095
4.125,2.391,0.093
4.375,2.771,0.093
4.625,2.967,0.095
4.875,2.846,0.099
5.125,2.646,0.102
5.375,2.565,0.104
5.625,2.566,0.105
5.875,2.589,0.107
6.125,2.607,0.112
6.375,2.668,0.115
6.625,2.787,0.119
6.875,2.874,0.124
7.125,2.983,0.131
7.375,3.118,0.135
7.625,3.231,0.142
7.875,3.374,0.148
8.125,3.366,0.153
8.375,3.467,0.16
