x,axav,err
0.8114708981851958,0.3176,0.0608
1.834351158976402,1.0088,0.0007
2.2785817970047026,1.2913,0.0233
2.7502295994956967,1.5155,0.0411
3.3343981461008845,1.6409,0.0512
3.3373680148316716,1.6486,0.0518
3.3403431786608637,1.6785,0.0542
3.3433239848871823,1.6641,0.053
3.3463097820807888,1.8478,0.0677
3.349300917048225,1.6734,0.0538
3.352297069200556,1.7719,0.0616
3.355299257661847,1.9071,0.0724
3.358306492115178,1.8084,0.0645
3.361319458677661,1.8627,0.0689
3.3643374990462287,1.7747,0.0618
3.3673613018556576,1.7902,0.0631
3.370390206487732,1.8244,0.0658
3.373424564958599,1.7672,0.0612
3.376464392011787,1.7428,0.0593
3.3795097024440146,1.6157,0.0492
3.3825605111054293,1.6951,0.0555
3.385616832899853,1.6769,0.054
3.388679025009389,1.8292,0.0662
3.3917464186170263,1.9961,0.0795
3.394819713861075,1.9037,0.0721
3.3978982395541095,1.7752,0.0619
3.4009823537162607,1.7288,0.0582
3.4040720715785353,1.7177,0.0573
3.4071674084273353,1.7432,0.0593
3.4102687262036864,1.7873,0.0629
3.4133753477393673,1.6659,0.0532
3.41648798232173,1.7906,0.0631
3.4196059503679437,1.698,0.0557
3.422729614676031,1.858,0.0685
3.4258589908701422,1.7945,0.0634
3.4289940946316206,1.903,0.0721
3.4321352927572493,1.9051,0.0723
3.435281547869572,1.8029,0.0641
3.438434281344823,1.6078,0.0485
3.4415924539897813,1.8647,0.069
3.4447567871224383,1.8872,0.0708
3.4479265901345193,1.7722,0.0616
3.451102587059406,1.7402,0.0591
3.45428408480254,1.8667,0.0692
3.457471810128158,1.8627,0.0689
3.460665067442083,1.9373,0.0748
3.4638642286760986,1.939,0.075
3.467069310218733,2.0251,0.0818
3.470280687424029,1.8932,0.0713
3.4734976596583405,1.8069,0.0644
3.4767209619722874,1.7561,0.0604
3.4799498911920366,1.9987,0.0797
3.483185185162118,1.8142,0.065
3.4864261381547927,1.8999,0.0718
3.489673490824567,1.8744,0.0698
3.4929265348759864,1.9395,0.056
3.496185649506535,1.9132,0.0544
3.499450851724751,1.9003,0.0537
3.5027228898960368,2.0082,0.0601
3.5060003199390466,2.1649,0.0694
3.5092842559997957,2.1241,0.067
3.512573981995804,2.0031,0.0801
3.515870618381436,1.8329,0.0665
3.519172341259881,1.9163,0.0731
3.522481010771279,1.9782,0.0781
3.5257955371741034,1.888,0.0709
3.5291166783271644,1.923,0.0737
