x,axav,err
1.8357686105663498,1.0829,0.0248
2.2778057723446823,1.4002,0.1198
2.736241803877252,1.3239,0.097
3.1878950852665926,1.9581,0.2868
3.1910859966347287,1.9935,0.2974
3.194281173660933,2.7809,0.5331
3.197478489910786,2.1475,0.3435
3.2006794655313753,1.6883,0.206
3.203884409188654,2.1327,0.339
3.2070911797525943,2.5367,0.46
3.210301611769947,2.3707,0.4103
3.213516323464401,2.8159,0.5435
3.216733779353732,1.6337,0.1897
3.2199536675801945,2.3052,0.3907
3.2231769122297402,2.2473,0.3733
3.2264044447923097,1.9217,0.2759
3.2296350282202018,1.8818,0.2639
3.2328677269842987,2.2214,0.3656
3.236103782751578,2.532,0.4586
3.239344447145419,2.1599,0.3472
3.2425869082118317,2.6685,0.4994
3.2458327271376524,1.8668,0.2594
3.2490831630251087,1.9436,0.2824
3.252335386928812,2.1625,0.348
3.2555909693782006,2.2484,0.3737
3.2588508604949302,1.9147,0.2738
3.2621137980270665,1.9851,0.2949
3.2653791451091716,2.1845,0.3546
3.268647851807878,2.7676,0.5291
3.2719208758033673,2.3342,0.3994
3.2751969446204656,1.8427,0.2522
3.278475416196578,1.6712,0.2009
3.281757248155711,2.1224,0.336
3.285043084184386,2.0267,0.3073
3.2883313173118514,1.9507,0.2846
3.291623233769732,2.1796,0.3531
3.2949188359032924,2.0906,0.3264
3.2982184502445673,2.0005,0.2995
3.3015198071419314,2.0666,0.3193
3.3048248501821846,2.4441,0.4323
3.3081335816488404,2.5453,0.4625
3.3114463306175166,2.132,0.3388
3.314761136570865,2.0673,0.3195
3.3180789762640854,2.0595,0.3171
3.3214014918299366,2.3356,0.3998
3.3247260559689034,2.4556,0.4357
3.328054311433198,1.9875,0.2956
3.33138692189828,1.9354,0.28
3.334721573613722,2.3786,0.4127
3.338059587088321,2.3021,0.3898
3.3414019606808263,2.439,0.4307
3.344747700278818,1.9451,0.2829
3.3480958037586515,2.1032,0.3302
3.3514472694206696,2.1872,0.3554
3.354803438984185,2.66,0.4969
3.3581623040175623,2.2136,0.3633
3.3615235237497587,2.1292,0.338
3.3648884418562908,2.1224,0.336
3.368258074670892,2.1039,0.3304
3.3716297199595826,2.3537,0.4052
3.3750047274000106,2.2116,0.3627
3.3783841173488574,2.2428,0.372
3.3817658508532866,2.6086,0.4815
3.385150946188656,2.4828,0.4438
3.3885404297939696,2.087,0.3254
3.3919332790223944,2.243,0.3721
3.395328806556379,2.1653,0.3488
