x,axav,err
1.838066830403734,1.0166,0.0026
2.284126140355069,1.1597,0.0248
2.728440926770024,1.4256,0.0661
3.1878950852665926,1.5484,0.0851
3.1910859966347287,1.5332,0.0828
3.194281173660933,1.479,0.0743
3.197478489910786,1.4726,0.0733
3.2006794655313753,1.5894,0.0915
3.203884409188654,1.6644,0.1031
3.2070911797525943,1.4979,0.0773
3.210301611769947,1.6121,0.095
3.213516323464401,1.6851,0.1063
3.216733779353732,1.5088,0.079
3.2199536675801945,1.4227,0.0656
3.2231769122297402,1.4551,0.0706
3.2264044447923097,1.5208,0.0808
3.2296350282202018,1.465,0.0722
3.2328677269842987,1.476,0.0739
3.236103782751578,1.6969,0.1082
3.239344447145419,1.4607,0.0715
3.2425869082118317,1.5789,0.0898
3.2458327271376524,1.3903,0.0606
3.2490831630251087,1.5649,0.0877
3.252335386928812,1.455,0.0706
3.2555909693782006,1.4654,0.0722
3.2588508604949302,1.4018,0.0624
3.2621137980270665,1.4917,0.0763
3.2653791451091716,1.4077,0.0633
3.268647851807878,1.6813,0.1057
3.2719208758033673,1.4176,0.0648
3.2751969446204656,1.5546,0.0861
3.278475416196578,1.5626,0.0873
3.281757248155711,1.4456,0.0692
3.285043084184386,1.5966,0.0926
3.2883313173118514,1.496,0.077
3.291623233769732,1.5862,0.091
3.2949188359032924,1.6599,0.1024
3.2982184502445673,1.389,0.0604
3.3015198071419314,1.5083,0.0789
3.3048248501821846,1.5392,0.0837
3.3081335816488404,1.7073,0.1098
3.3114463306175166,1.5271,0.0818
3.314761136570865,1.6058,0.094
3.3180789762640854,1.5714,0.0887
3.3214014918299366,1.5424,0.0842
3.3247260559689034,1.5666,0.0879
3.328054311433198,1.5264,0.0817
3.33138692189828,1.4703,0.073
3.334721573613722,1.6492,0.1008
3.338059587088321,1.461,0.0715
3.3414019606808263,1.5499,0.0853
3.344747700278818,1.4454,0.0691
3.3480958037586515,1.5966,0.0926
3.3514472694206696,1.6714,0.1042
3.354803438984185,1.5718,0.0887
3.3581623040175623,1.6042,0.0938
3.3615235237497587,1.6269,0.0973
3.3648884418562908,1.4362,0.0677
3.368258074670892,1.6016,0.0934
3.3716297199595826,1.6375,0.0989
3.3750047274000106,1.7646,0.1187
3.3783841173488574,1.6216,0.0965
3.3817658508532866,1.6414,0.0995
3.385150946188656,1.6957,0.108
3.3885404297939696,1.513,0.0796
3.3919332790223944,1.5829,0.0905
3.395328806556379,1.5884,0.0913
3.3987273523227715,1.5975,0.0927
3.4021306387556436,1.6219,0.0965
3.4055369457028157,1.4786,0.0743
3.4089462708259872,1.4648,0.0721
3.4123586117572215,1.4864,0.0755
3.415775009255985,1.6972,0.1082
3.419194421916068,1.6081,0.0944
3.4226171964052474,1.7782,0.1208
3.4260440319712337,1.6576,0.1021
3.4294749324186276,1.5883,0.0913
3.43290779424958,1.6393,0.0992
3.436344368191458,1.6867,0.1066
3.4397846558916694,1.5252,0.0815
3.443229365645954,1.4833,0.075
3.4466760250478097,1.7711,0.1197
3.450126044065092,1.6139,0.0953
3.453580488519829,1.5849,0.0908
3.4570379395602076,1.6766,0.105
3.460498394458324,1.7926,0.123
3.4639632808515,1.6611,0.1026
3.467430454650811,1.6451,0.1001
3.4709017039100574,1.5381,0.0835
3.474377032255046,1.638,0.099
3.477855722358871,1.6763,0.105
3.481337412306267,1.5691,0.0883
3.484822099183112,1.7463,0.1158
3.488311593262741,1.7187,0.1115
3.4918040856100165,1.6739,0.0838
3.4952992091354527,1.6492,0.0807
3.498798417938676,1.775,0.0964
3.5023017155358493,1.8178,0.1017
3.5058076402720313,1.9607,0.1195
3.509316920893815,1.9318,0.1159
3.512830659747042,1.7686,0.1193
3.5163470200196763,1.8122,0.1261
3.51986710401664,1.7426,0.1152
3.5233916529013523,1.6644,0.1031
3.526919560171864,1.769,0.1194
3.530450081873529,1.7009,0.1088
3.5339843290866524,1.6341,0.0984
3.5375226758989253,1.7673,0.1191
3.541064751979331,1.7227,0.1122
3.5446090606621703,1.6906,0.1072
3.548157470010398,1.6708,0.1041
3.5517103592829393,1.6242,0.0969
3.555265473851642,1.5733,0.089
3.5588243155126422,1.7297,0.1132
3.562388019896627,1.8764,0.109
3.565954699971721,2.4985,0.1864
3.569524352163713,2.4612,0.1818
3.5730973533501165,2.0548,0.1312
3.576675227168823,2.6739,0.2082
3.5802564533467782,2.1374,0.1415
3.583840264932039,1.7978,0.0992
3.5874278065375576,1.6006,0.0747
3.5910202319503366,1.7589,0.1178
3.5946144682601573,1.7942,0.1233
3.5982128198487886,1.6526,0.1013
3.601815676444886,1.6073,0.0943
3.60542110645268,1.6433,0.0998
3.6090302681816775,1.626,0.0971
3.612644329225942,1.7019,0.1089
3.6162609588949564,1.596,0.0925
3.6198809318964322,1.5611,0.0871
3.6235046378512816,1.6545,0.1016
3.627132861569274,1.7474,0.116
3.6307648226548843,1.6278,0.0974
3.634399340760465,1.695,0.1079
3.638037592715692,1.6191,0.0961
3.6416799743173383,1.7133,0.1107
3.6453256964341256,1.6814,0.1058
3.648974360396447,1.5724,0.0888
3.6526279500055563,1.7097,0.1101
3.656284480855477,1.6769,0.105
3.6599443478344336,1.7227,0.1122
3.6636091490128773,1.8649,0.1342
3.66727728878098,1.6785,0.1053
3.6709483635257674,1.755,0.1172
3.6746231736359194,1.6261,0.0972
3.6783025259091504,1.8407,0.1305
3.681985617463145,1.6448,0.1001
3.685671234098511,1.8095,0.1256
3.6893609914197127,1.6481,0.1006
3.693054485665082,1.7592,0.1178
3.696751717082378,1.7165,0.1112
3.700452277804509,1.8486,0.1317
3.704157392317367,1.7227,0.1122
3.707866246254224,1.5735,0.089
3.7115780186795466,1.7475,0.116
3.7152931161777594,1.7301,0.1133
3.7190131851806196,1.6317,0.098
3.722736168089681,1.7616,0.1182
3.726462473871009,1.688,0.1068
3.730194173483702,1.723,0.1122
3.7339287838536652,1.8003,0.1242
3.737666716347119,1.7818,0.1213
3.7414079684474273,1.8343,0.1295
3.745154209655841,1.7891,0.1225
3.748903353188538,1.9161,0.1422
3.7526562333116917,1.9175,0.1424
3.7564136909743007,1.7514,0.1166
3.7601748883526858,1.7068,0.1097
3.763938558650178,1.7552,0.1172
3.7677063863339373,1.8146,0.1264
3.7714787976472683,1.8616,0.1337
3.7752553726995632,1.8573,0.1331
3.7790344113627707,1.8278,0.1285
3.78281718509219,1.779,0.1209
3.7866049755398437,1.8212,0.1274
3.7903956492231337,1.8696,0.135
3.7941896296952975,1.8673,0.1346
3.797988633572501,1.8409,0.1305
3.801790514454243,1.705,0.1094
3.805596129987437,1.9733,0.151
3.8094067771691478,1.8309,0.129
3.813221163298179,1.8722,0.1354
3.817037985261468,1.861,0.1336
3.820859410148616,1.794,0.0988
3.8246850066960185,1.8037,0.1
3.828514776970835,1.7971,0.0991
3.832346972211902,1.9672,0.1203
3.836182899675174,1.9388,0.1168
3.840024316560232,1.9755,0.1213
3.843868590737512,2.228,0.1527
3.847716157470636,2.5718,0.1955
3.851568781826485,2.2336,0.1534
3.8554255850625494,2.0775,0.134
3.8592847935854393,2.0515,0.1308
3.863148177698383,2.2237,0.1522
3.867015739268258,2.4187,0.1765
3.8708865870442213,2.049,0.1628
3.874761612385405,2.0119,0.157
3.8786412654421487,2.0775,0.1672
3.8825251014616837,1.9367,0.1454
3.886411321665138,1.9327,0.1448
3.89030172116447,1.7527,0.1168
3.894197205577518,1.9596,0.1489
3.8980955177938794,1.9264,0.1438
3.9019975588699345,1.9626,0.1494
3.905904237084427,1.8548,0.1327
3.909815556819945,1.8407,0.1305
3.9137292400005186,1.9205,0.1429
3.917647106899111,1.9365,0.1453
3.92156961742457,1.8441,0.131
3.9254963166627643,1.8193,0.1271
3.9294253655346734,1.89,0.1381
3.9333590599259245,1.923,0.1432
3.937297404108963,1.9861,0.153
3.9412385506285936,1.8054,0.125
3.9451838841889333,1.967,0.1501
3.949134335806267,1.9717,0.1508
3.9530871181842837,1.9411,0.1461
3.957044554799892,2.0862,0.1686
3.9610066498347103,1.9868,0.1532
3.964972938941338,2.0481,0.1627
3.9689415456269805,1.8446,0.1311
3.9729148119472915,1.9397,0.1458
3.9768927420212195,1.9695,0.1505
3.980874867672673,2.0092,0.1566
3.9848597704643915,1.977,0.1516
3.9888483914760484,2.134,0.176
3.992842629597038,1.9698,0.1505
3.996839161991994,1.9028,0.1401
4.000840602107193,1.9495,0.1474
4.004846477391152,2.0442,0.1621
4.008855114082861,1.9474,0.147
4.012867944391987,1.8718,0.1353
4.016885931138121,1.9875,0.1533
4.020908117488719,1.9873,0.1532
4.024933538891706,1.8446,0.1311
4.028962190572598,1.9578,0.1486
4.032996733764224,1.9487,0.1472
4.037034751089825,1.9818,0.1524
4.041075752454598,2.0281,0.1596
4.045120950621325,1.9864,0.1531
4.049171323755101,1.9396,0.1458
4.053224920163224,2.0097,0.1567
4.0572822254234175,1.9996,0.1551
4.0613447121498165,2.0069,0.1563
4.065411155662509,1.9525,0.1478
4.069480814962651,1.9765,0.1516
4.073553932162979,1.9429,0.1463
4.077632733415157,1.989,0.1535
4.081715738811266,2.0124,0.1571
4.085801954033919,2.1587,0.1798
4.089891373791014,1.8861,0.1375
4.093986740041229,1.8893,0.138
4.098085311110762,2.1686,0.1814
4.102187081602385,1.9003,0.1397
4.106294558654586,2.0849,0.1684
4.110405486023405,1.9122,0.1416
4.114519607449424,1.9423,0.1462
