x,axav,err
1.8359508181185669,1.0137,0.003
2.278687328925782,1.4513,0.0999
2.7309004644603365,1.538,0.1191
3.1847069218031354,1.6384,0.1413
3.1878950852665926,2.0308,0.2282
3.1910859966347287,2.1668,0.2583
3.194281173660933,2.0046,0.2223
3.197478489910786,2.0486,0.2321
3.2006794655313753,2.0316,0.2283
3.203884409188654,2.233,0.2729
3.2070911797525943,1.8319,0.1841
3.210301611769947,2.1789,0.2609
3.213516323464401,2.2064,0.267
3.216733779353732,2.1623,0.2573
3.2199536675801945,1.947,0.2096
3.2231769122297402,2.0633,0.2353
3.2264044447923097,2.1742,0.2599
3.2296350282202018,2.2074,0.2672
3.2328677269842987,2.1374,0.2517
3.236103782751578,1.9231,0.2043
3.239344447145419,2.1641,0.2577
3.2425869082118317,2.199,0.2654
3.2458327271376524,1.8869,0.1963
3.2490831630251087,2.2295,0.2721
3.252335386928812,2.1475,0.254
3.2555909693782006,2.0933,0.242
3.2588508604949302,2.0092,0.2234
3.2621137980270665,2.0954,0.2424
3.2653791451091716,2.2209,0.2702
3.268647851807878,2.1793,0.261
3.2719208758033673,2.1011,0.2437
3.2751969446204656,2.0235,0.2265
3.278475416196578,1.9865,0.2183
3.281757248155711,2.0335,0.2287
3.285043084184386,2.2754,0.2823
3.2883313173118514,2.0807,0.2392
3.291623233769732,2.0574,0.234
3.2949188359032924,2.0999,0.2435
3.2982184502445673,1.9859,0.2182
3.3015198071419314,2.1167,0.2472
3.3048248501821846,2.0801,0.2391
3.3081335816488404,2.0663,0.236
3.3114463306175166,2.0757,0.2381
3.314761136570865,2.1126,0.2462
3.3180789762640854,1.9359,0.2072
3.3214014918299366,2.1119,0.2461
3.3247260559689034,2.1437,0.2531
3.328054311433198,2.2686,0.2808
3.33138692189828,2.2056,0.2668
3.334721573613722,2.0839,0.2399
3.338059587088321,2.0236,0.2266
3.3414019606808263,2.0799,0.239
3.344747700278818,2.2214,0.2703
3.3480958037586515,2.1856,0.2624
3.3514472694206696,2.1179,0.2474
3.354803438984185,2.1687,0.2587
3.3581623040175623,1.9292,0.2057
3.3615235237497587,2.0515,0.2327
3.3648884418562908,2.3564,0.3002
3.368258074670892,2.1699,0.2589
3.3716297199595826,2.2681,0.2807
3.3750047274000106,2.0108,0.2237
3.3783841173488574,2.1723,0.2595
3.3817658508532866,2.1503,0.2546
3.385150946188656,2.253,0.2773
3.3885404297939696,2.27,0.2811
3.3919332790223944,2.1984,0.2653
3.395328806556379,2.2793,0.2832
3.3987273523227715,2.2988,0.2875
3.4021306387556436,2.1836,0.262
3.4055369457028157,2.0593,0.2345
3.4089462708259872,2.1803,0.2613
3.4123586117572215,2.1362,0.2515
3.415775009255985,2.2282,0.2719
3.419194421916068,2.209,0.2676
3.4226171964052474,2.1301,0.2501
3.4260440319712337,2.1149,0.2468
3.4294749324186276,2.124,0.2488
3.43290779424958,2.2095,0.2677
3.436344368191458,2.2518,0.2771
3.4397846558916694,2.1263,0.2493
3.443229365645954,2.113,0.2463
3.4466760250478097,2.205,0.2667
3.450126044065092,2.2846,0.2843
3.453580488519829,2.1137,0.2465
3.4570379395602076,2.2948,0.2866
3.460498394458324,2.2023,0.2661
3.4639632808515,2.2824,0.2838
3.467430454650811,2.1876,0.2629
3.4709017039100574,2.2442,0.2754
3.474377032255046,2.1669,0.2583
3.477855722358871,2.1651,0.2579
3.481337412306267,2.2474,0.2761
3.484822099183112,2.3141,0.2908
3.488311593262741,2.2649,0.28
3.4918040856100165,2.1926,0.1979
3.4952992091354527,2.2265,0.2035
3.498798417938676,2.3609,0.2258
3.5023017155358493,2.4078,0.2336
3.5058076402720313,2.8401,0.3053
3.509316920893815,2.3241,0.2197
3.512830659747042,2.3289,0.2941
3.5163470200196763,2.352,0.2992
3.51986710401664,2.4006,0.31
3.5233916529013523,2.2596,0.2788
3.526919560171864,2.3348,0.2954
3.530450081873529,2.3618,0.3014
3.5339843290866524,2.3368,0.2959
3.5375226758989253,2.2533,0.2774
3.541064751979331,2.1955,0.2646
3.5446090606621703,2.2019,0.266
3.548157470010398,2.3882,0.3073
3.5517103592829393,2.3011,0.288
3.555265473851642,2.2877,0.285
3.5588243155126422,2.4289,0.3163
3.562388019896627,2.5448,0.2563
3.565954699971721,3.1913,0.3636
3.569524352163713,2.9114,0.3172
3.5730973533501165,3.0802,0.3452
3.576675227168823,3.2333,0.3706
3.5802564533467782,2.5523,0.2576
3.583840264932039,2.3666,0.2268
3.5874278065375576,2.41,0.234
3.5910202319503366,2.4211,0.3145
3.5946144682601573,2.43,0.3165
3.5982128198487886,2.2924,0.2861
3.601815676444886,2.3915,0.308
3.60542110645268,2.3654,0.3022
3.6090302681816775,2.3903,0.3077
3.612644329225942,2.3733,0.304
3.6162609588949564,2.4438,0.3196
3.6198809318964322,2.279,0.2831
3.6235046378512816,2.3614,0.3013
3.627132861569274,2.4858,0.3289
3.6307648226548843,2.5538,0.3439
3.634399340760465,2.513,0.3349
3.638037592715692,2.5181,0.336
3.6416799743173383,2.3493,0.2986
3.6453256964341256,2.4232,0.315
3.648974360396447,2.4257,0.3156
3.6526279500055563,2.3756,0.3045
3.656284480855477,2.4779,0.3271
3.6599443478344336,2.3181,0.2918
3.6636091490128773,2.3409,0.2968
3.66727728878098,2.4608,0.3233
3.6709483635257674,2.5154,0.3354
3.6746231736359194,2.4105,0.3122
3.6783025259091504,2.3129,0.2906
3.681985617463145,2.4723,0.3259
3.685671234098511,2.4016,0.3102
3.6893609914197127,2.5488,0.3428
3.693054485665082,2.4494,0.3208
3.696751717082378,2.3815,0.3058
3.700452277804509,2.2748,0.2822
3.704157392317367,2.4494,0.3208
3.707866246254224,2.656,0.3665
3.7115780186795466,2.4232,0.315
3.7152931161777594,2.2996,0.2877
3.7190131851806196,2.2843,0.2843
3.722736168089681,2.4414,0.319
3.726462473871009,2.3937,0.3085
3.730194173483702,2.4194,0.3142
3.7339287838536652,2.4055,0.3111
3.737666716347119,2.5278,0.3382
3.7414079684474273,2.4879,0.3293
3.745154209655841,2.5367,0.3401
3.748903353188538,2.7631,0.3902
3.7526562333116917,2.5909,0.3521
3.7564136909743007,2.45,0.3209
3.7601748883526858,2.4615,0.3235
3.763938558650178,2.3458,0.2979
3.7677063863339373,2.5285,0.3383
3.7714787976472683,2.5784,0.3494
3.7752553726995632,2.5374,0.3403
3.7790344113627707,2.465,0.3242
3.78281718509219,2.4839,0.3284
3.7866049755398437,2.566,0.3466
3.7903956492231337,2.5995,0.354
3.7941896296952975,2.4662,0.3245
3.797988633572501,2.6729,0.3703
3.801790514454243,2.4301,0.3165
3.805596129987437,2.7092,0.3783
3.8094067771691478,2.5574,0.3447
3.813221163298179,2.6162,0.3577
3.817037985261468,2.6679,0.3692
3.820859410148616,2.5557,0.2581
3.8246850066960185,2.6311,0.2707
3.828514776970835,2.5831,0.2627
3.832346972211902,2.7566,0.2915
3.836182899675174,2.9129,0.3174
3.840024316560232,2.7607,0.2922
3.843868590737512,3.3383,0.388
3.847716157470636,3.0488,0.34
3.851568781826485,2.9035,0.3159
3.8554255850625494,2.8686,0.3101
3.8592847935854393,2.7223,0.2858
3.863148177698383,3.0388,0.3383
3.867015739268258,3.1974,0.3646
3.8708865870442213,2.7782,0.3936
3.874761612385405,2.7975,0.3979
3.8786412654421487,2.9199,0.4249
3.8825251014616837,2.8166,0.4021
3.886411321665138,2.7625,0.3901
3.89030172116447,2.7729,0.3924
3.894197205577518,2.7424,0.3856
3.8980955177938794,2.6997,0.3762
3.9019975588699345,2.6208,0.3587
3.905904237084427,2.7124,0.379
3.909815556819945,2.5605,0.3454
3.9137292400005186,2.6824,0.3724
3.917647106899111,2.7342,0.3838
3.92156961742457,2.7122,0.379
3.9254963166627643,2.7054,0.3775
3.9294253655346734,2.5677,0.347
3.9333590599259245,2.8576,0.4111
3.937297404108963,2.8058,0.3997
3.9412385506285936,2.6528,0.3658
3.9451838841889333,2.7469,0.3866
3.949134335806267,2.8114,0.4009
3.9530871181842837,2.8348,0.4061
3.957044554799892,2.7232,0.3814
3.9610066498347103,2.761,0.3898
3.964972938941338,2.8409,0.4075
3.9689415456269805,2.8403,0.4073
3.9729148119472915,2.8083,0.4002
3.9768927420212195,2.836,0.4064
3.980874867672673,2.7044,0.3772
3.9848597704643915,2.7792,0.3938
3.9888483914760484,2.7561,0.3887
3.992842629597038,2.6929,0.3747
3.996839161991994,2.5872,0.3513
4.000840602107193,2.8075,0.4001
4.004846477391152,2.797,0.3977
4.008855114082861,2.7785,0.3936
4.012867944391987,2.8434,0.408
4.016885931138121,2.6322,0.3613
4.020908117488719,2.7695,0.3917
4.024933538891706,2.959,0.4336
4.028962190572598,2.7606,0.3897
4.032996733764224,2.7085,0.3782
4.037034751089825,2.8329,0.4057
4.041075752454598,2.6808,0.372
4.045120950621325,2.7264,0.3821
4.049171323755101,2.7622,0.39
4.053224920163224,2.7744,0.3927
4.0572822254234175,2.6888,0.3738
4.0613447121498165,2.8225,0.4034
4.065411155662509,2.8377,0.4068
4.069480814962651,2.8407,0.4074
4.073553932162979,2.7014,0.3766
4.077632733415157,2.7388,0.3849
4.081715738811266,2.8494,0.4093
4.085801954033919,2.9051,0.4217
4.089891373791014,2.8019,0.3988
4.093986740041229,2.8784,0.4158
4.098085311110762,2.7996,0.3983
4.102187081602385,2.9557,0.4329
4.106294558654586,2.9334,0.4279
4.110405486023405,2.8732,0.4146
4.114519607449424,2.8586,0.4114
4.118639445094311,2.8357,0.4063
4.12276348888638,2.8065,0.3998
4.126890724159514,2.8802,0.4161
4.131021145264516,2.9302,0.4272
4.135158058940834,3.0114,0.4452
4.13929892621894,2.985,0.4394
4.143442210999428,2.9462,0.4308
4.147589440902772,2.9222,0.4255
4.151742669507461,2.8216,0.4032
4.1558985621561355,2.8806,0.4162
4.160058657138105,2.8661,0.413
4.1642242466821235,2.9174,0.4244
4.168392490704191,2.9065,0.422
4.1725649366798985,2.916,0.3179
4.176743144495416,2.8625,0.3091
4.180925560821068,2.9398,0.3219
4.185110358819263,3.0095,0.3334
4.189299881291798,2.897,0.3148
4.193494655531483,3.5894,0.4297
4.197693375044512,3.7517,0.4566
4.201895512098014,3.1977,0.3647
4.2061015891949936,3.1476,0.3564
4.210312925465408,3.5005,0.4149
4.214527674453846,3.0446,0.3393
4.218746096525112,2.9383,0.3216
4.222970580039957,2.9729,0.4367
4.227198739591898,2.9179,0.4245
4.231430305031956,3.0615,0.4563
4.235666073394081,2.9152,0.4239
4.239907115968382,2.9474,0.431
4.244152365309124,3.0772,0.4598
4.248401283265541,2.9902,0.4405
4.252654405304279,2.9971,0.442
4.256912271171234,3.1555,0.3577
4.2611735309274605,3.2966,0.3811
4.265438721559448,3.6797,0.4446
4.269709742623316,3.2996,0.3816
4.273983881502858,3.2618,0.3753
4.2782616767091595,2.9627,0.3257
4.2825455841013085,3.1726,0.4809
4.286833697804473,3.2986,0.5088
4.2911251941461686,3.0359,0.4506
4.295420617510289,3.0917,0.463
4.299721894072691,2.9524,0.4321
4.304026548808782,2.9075,0.4222
4.308335682489224,3.116,0.4683
4.312647633244335,3.0808,0.4605
4.316966279876408,3.0997,0.4647
4.321287741076368,2.8895,0.4182
4.325613123014695,3.0328,0.4499
4.3299443788550604,3.0204,0.4472
4.334278718537923,3.0416,0.4519
4.338617256494135,2.9798,0.4382
4.342961678199018,3.1588,0.4778
4.3473103031897,3.0175,0.4465
4.351662001838611,3.1499,0.4758
4.356017897428615,3.184,0.4834
4.360379405561914,3.1172,0.4686
4.364745398224557,3.1757,0.4816
4.369114738306692,3.1523,0.4764
4.373488274701683,3.1074,0.4664
4.37786743428619,3.089,0.4624
4.382249649058204,3.0976,0.4643
4.38663663143484,3.1632,0.4788
4.39102895831527,3.3003,0.5091
4.395425195978304,3.0868,0.4619
4.399825053018757,3.1573,0.4775
4.404229680889093,3.0815,0.4607
4.408639661019731,3.0644,0.4569
4.413054128461965,3.0874,0.462
4.417471338939731,3.2867,0.5061
4.421893321912166,3.3785,0.5265
4.4263203714241,3.3464,0.5193
4.430751321176545,3.2141,0.4901
4.435187340435305,3.2898,0.5068
4.439628139290647,3.4791,0.5487
4.444072248288977,3.4978,0.5529
4.4485205452410135,3.3454,0.5191
4.452974505941048,3.3636,0.5232
4.457433841588582,3.2246,0.4924
4.461895591072546,3.2692,0.5023
4.466362120082418,3.3141,0.5122
4.470834026187765,3.41,0.5334
4.475310419480595,3.334,0.5166
4.479790402872882,3.1615,0.4784
4.484274570278144,3.2888,0.5066
4.48876472133737,3.6542,0.5875
4.493258157416944,3.5029,0.554
4.49775577556871,3.3043,0.51
4.502259688240579,3.3285,0.5154
4.506766576968561,3.2918,0.5072
4.511277645572003,3.4681,0.5463
4.515794715266619,3.293,0.5075
4.520316881530734,3.3218,0.5139
4.524841401995037,3.2708,0.5026
4.5293707091821425,3.2892,0.5067
4.533906029879562,3.2321,0.494
4.538445838334996,3.2934,0.5076
4.542988904047485,3.4243,0.5366
4.547536451889794,3.2847,0.5057
4.552090025327576,3.2064,0.4883
4.55664715805641,3.3573,0.5218
4.561207844050949,3.3697,0.5245
4.565774872940587,3.3927,0.5296
4.570346387860149,3.4184,0.5353
4.574921764513999,3.3261,0.5149
4.579500998588322,3.3115,0.5116
4.584086590769866,3.201,0.4872
4.588676669161957,3.2242,0.4923
4.593270289956549,3.3037,0.5099
4.597868076840438,3.2729,0.5031
4.60247160543799,3.3769,0.5261
4.607078984904164,3.3022,0.5096
4.611690527581242,3.4504,0.5424
4.6163084535937235,3.2498,0.498
4.620929273521297,3.3117,0.5117
4.625554889882223,3.4761,0.548
4.630186581532164,3.2762,0.5038
4.634822436539292,3.2577,0.4997
4.639462131296167,3.2539,0.4989
4.644105982354728,3.4044,0.5322
4.648756240962187,3.463,0.5452
4.653410658966277,3.6501,0.5866
4.658068910046176,3.3528,0.5207
4.662731961119481,3.4757,0.548
4.667401111459787,3.4927,0.5517
4.672073442255543,3.6288,0.5818
4.676749596343893,3.5784,0.5707
4.681432507717238,3.5016,0.5537
4.686118262142026,3.5019,0.5537
4.6908097994360025,3.3741,0.5255
4.695506469077492,3.4634,0.5452
4.700207944473432,3.4205,0.5357
4.704912576953895,3.5243,0.5587
4.709622340283307,3.4792,0.5487
4.714338230516146,3.7094,0.5997
4.719058265077177,3.7072,0.5992
4.723782107972945,3.7211,0.6023
4.728511419537812,3.5945,0.5742
4.7332455365253905,3.5865,0.5725
4.737983455819799,3.4562,0.5436
4.74272684766649,3.5226,0.5584
4.747475380587939,3.5925,0.5738
4.752229393450609,3.5341,0.5609
4.75698619302321,3.5694,0.5687
4.761747794665362,3.5956,0.5745
4.766515891354271,3.564,0.5675
4.771288118871998,3.4364,0.5393
4.776064473335858,3.6827,0.5938
4.7808456319956045,3.5046,0.5544
4.785632618785141,3.6112,0.578
4.790422704318271,3.6346,0.5831
4.795218276871917,3.5521,0.5649
4.8000193405930665,3.6426,0.5849
4.8048241795503905,3.6558,0.5878
4.80963451104124,3.6508,0.5867
4.814449993762128,3.6364,0.5835
4.819270975799323,3.4468,0.5416
4.824095033764924,3.5093,0.5554
4.8289235470098015,3.7966,0.619
4.833759298625572,3.9453,0.6519
4.838599163256421,3.723,0.6027
4.843442437371771,3.8152,0.6231
4.8482908636526405,3.9865,0.661
4.853145145847038,3.8164,0.6234
4.8580031799430206,3.9231,0.647
4.862866368764261,3.8341,0.6273
4.867735773291832,3.7811,0.6156
4.872608217515866,3.6632,0.5895
4.877486171863689,4.0015,0.6643
4.882369640124488,3.8639,0.6339
4.887258626073742,3.5786,0.5707
4.892150637051025,3.3983,0.5308
4.897047805876017,3.7284,0.6039
4.901950850226394,3.9653,0.6563
4.906859417158184,3.8238,0.625
4.911770993858168,3.7661,0.6122
4.9166877301691345,3.8839,0.6383
4.921611071296878,3.5785,0.5707
4.926537410714633,3.6704,0.5911
4.931468911121904,3.9343,0.6495
4.936406663224633,4.0383,0.6725
4.941349583391013,3.8822,0.6379
4.946296214674216,3.6715,0.5913
4.951247280217081,3.7622,0.6114
4.956204973083089,3.8713,0.6355
4.961167836243648,3.8558,0.6321
4.96613366592414,3.7021,0.5981
4.9711050277233975,3.6103,0.5778
4.97608266294852,3.6455,0.5855
4.981063621676805,3.993,0.6625
4.9860497461796935,4.1084,0.688
4.99104215110939,4.0205,0.6685
4.996038240626257,4.1767,0.7031
5.0010394975535775,3.964,0.656
5.006047043167164,4.0389,0.6726
5.011059388443274,4.1864,0.7053
5.016075407293007,3.9379,0.6503
5.021096594335515,4.124,0.6914
5.026124456168024,3.9745,0.6584
5.03115673956632,3.9768,0.6589
5.036193062888715,3.8285,0.626
5.041234556215862,3.8376,0.6281
5.046281979219733,3.7916,0.6179
5.051333436102976,3.6283,0.5817
5.056390063659906,3.9137,0.6449
5.061453007787876,4.0744,0.6805
5.0665199809687085,3.8342,0.6273
5.071590976934488,3.8299,0.6264
5.076669445731937,3.6079,0.5772
5.081752323269435,4.0124,0.6667
5.086839605464986,3.8967,0.6411
5.091931674543955,3.8791,0.6372
5.097029690035955,3.999,0.6638
5.102133657028938,3.878,0.637
5.107240859836172,3.9134,0.6448
5.112353234469468,4.1154,0.6895
5.117471951989049,3.9541,0.6539
5.122595064638457,3.923,0.647
5.127722959819777,3.9888,0.6615
5.13285720579381,3.8411,0.6288
5.137996629735652,3.7445,0.6074
5.143139655197651,4.0398,0.6728
5.148287852696483,4.1706,0.7018
5.153443201083447,4.0864,0.6831
5.158603333124504,3.917,0.6456
5.163767054531565,3.9812,0.6598
5.168935550192863,4.1775,0.7033
5.174111610198301,4.1229,0.6912
5.179290851933292,4.1651,0.7006
5.184475666505333,4.0656,0.6785
5.189666858888398,4.1896,0.706
5.19486121915107,4.2202,0.7127
5.200061555637415,4.3168,0.7341
5.20526868049053,4.3005,0.7305
5.2104805804407475,4.279,0.7257
5.215696442105799,4.1913,0.7064
5.220917070268308,4.7332,0.8263
5.2261449041148555,4.1314,0.6931
5.231377916507477,4.1841,0.7048
5.236614472605628,4.1655,0.7006
5.241856199960946,4.2289,0.7147
5.247105149435565,4.0827,0.6823
5.2523576331447455,4.3289,0.7368
5.257614876442392,4.202,0.7087
5.2628793527027184,4.1503,0.6973
5.268147765293333,3.8796,0.6373
5.273420934947546,4.1002,0.6862
5.27870176505596,4.3505,0.7416
5.283986941536274,4.1924,0.7066
5.289276041830045,4.046,0.6742
5.294570728567671,4.1537,0.698
5.299872677702742,4.2094,0.7104
5.305178965269422,4.1212,0.6908
5.31048958541633,4.0326,0.6712
5.315805795459129,4.1425,0.6955
5.321128018944838,4.101,0.6864
5.326454991725243,4.0618,0.6777
5.331786710302624,4.2833,0.7267
5.337124868965441,4.2067,0.7098
5.342469049018838,4.3015,0.7307
5.347817123711821,4.2917,0.7286
5.353170365317186,4.1112,0.6886
5.358530484174701,4.408,0.7543
5.363895774487806,4.1485,0.6969
5.369265375892942,4.0615,0.6776
5.374639712444298,4.2048,0.7093
5.3800213681294835,4.0088,0.6659
5.385407329381772,4.3687,0.7456
5.390798022714032,3.9949,0.6629
5.3961956136734575,4.1409,0.6952
