x,axav
0.4493794850851382,0.1254330584400477
0.6030038089364147,0.1536383830516104
0.7964344354522797,0.2850036730369552
1.817705889351082,0.990219447486067
2.268335536094013,1.287404465575787
2.704082882713687,1.500216716709982
3.23632514303577,1.688550021784618
3.274551051013653,1.744890819407093
3.328739426059223,1.693741127216664
3.361024415842741,1.752573655446521
3.421593777097073,1.752850514402897
3.47952273026502,1.749943495360951
3.536591550495737,1.759056769341655
3.572537106035378,1.807876231982587
3.620124460864987,1.983035665049674
3.684894471347659,2.05319633891124
3.726460895616649,1.962986462292127
3.780849301577854,1.997755332896987
3.827836563660558,2.12218036220821
3.879104487337854,2.058110585386911
3.919330704472088,2.257033745542921
3.974019156806746,2.152657918989245
4.024226916631176,2.279943824183018
4.079195412247723,2.194994267735044
4.133283771835475,2.321195808683012
4.171529682904922,2.266746880595772
4.232019031793,2.420518959282829
4.269284791375833,2.599208344043707
4.32157287272287,2.651327042581451
4.381482131955606,2.684273258390171
4.420708194511663,2.875075222492491
4.481717623780393,2.92781685368208
4.525664415945442,2.994932079023513
4.57199157600655,3.116957664046145
4.627060087080914,2.727993901917849
4.674147364621435,3.057594489483235
4.725775343946875,2.874775291956417
4.770562265957592,2.948073700656909
4.827391049089545,3.134076776182049
4.86539692306023,2.771368471750057
4.925286179201402,2.674075620163663
4.973013555671956,2.761932195653582
5.028442122394464,2.562316888106633
5.065947919076059,2.770237964344856
5.125037051554692,2.710805575042851
5.162902903884431,2.764193210463985
5.218251458240685,2.724925381818017
5.268539230431369,2.726932609251741
5.319347083002704,2.714935387808791
5.380356512271434,2.657833228056282
5.41962258101062,2.594063381771057
5.468750173890619,2.727094110309627
5.519978091384789,2.725456028151071
5.58764855014417,2.711290078216509
5.630815221738241,2.693386532370874
5.673661843867297,2.868499822278566
5.729290441505439,2.78631885539435
5.772037048176678,2.691540805995036
5.829125871498958,2.664224055632624
5.873192682213388,2.763547206232441
5.923860513143778,2.894432277859099
5.975528498652345,2.959494132607411
6.028616703661921,3.037706787783574
6.074103733877361,2.885342075458093
6.134012993110097,2.885434361776885
6.176419547224755,2.980489270132575
6.235628698252768,3.022225757806227
6.276935082331432,2.896947080046179
6.324822483534494,3.12960088972064
6.378330753466904,2.983027143899354
6.42777839581192,3.153018543114093
6.473345438393614,2.833684808514309
6.519252533531888,3.187810485298651
6.574201026056872,3.144620488104027
6.618647895511008,3.144758917582215
6.675736718833288,3.161878029718118
6.733045576162767,3.22991611824747
6.78173310102837,3.264338915156861
6.823959627318955,3.308151845003331
6.876707779771952,3.174036752218955
6.921654726515177,3.380619676834695
6.974302863510356,3.272090965935383
7.021390141050877,3.39829250688335
7.077758853076871,3.376143790373287
7.120125401008401,3.276082349223134
7.17055319484003,2.941682873080568
7.222681251454557,3.537252631404302
7.278069811993938,3.577466394817887
7.323316805110616,3.646150487578783
7.377105118324915,3.573913371544398
7.437354430114231,3.572736720979801
7.478840842016967,3.661377730179451
7.522107529068856,3.808666694971375
7.569754893173156,3.923517018707935
7.620982810667325,3.835983445333787
7.677491544334264,3.91179665622136
7.723958726036315,3.797753837774229
7.772306198345338,3.770529373730609
7.820013571724329,3.86523820839083
7.873741875663938,4.002560250753225
7.927110123955403,3.878758154093848
7.973477290199638,4.193569859072827
8.023064954185598,3.983226266966315
8.427767502698693,4.31227313661895
8.473614588562274,4.184456585092123
8.5244824504083,4.599583518597932
8.571489715582569,4.68607887088567
8.618216937474946,4.609388939969575
