x,axav
0.4514656211086043,0.1097005421092465
0.6100859717782094,0.122774464725607
0.8107945911157171,0.3250133906661529
1.82130022523573,1.009334365361593
2.278415228600723,1.320251921611288
2.710858049900506,1.533521539165186
3.224041491578611,2.151674458038842
3.274959863570464,2.187956392365196
3.3224715105545,2.166716343311643
3.375559641926333,2.065605647164658
3.424369088913347,2.095361872469813
3.467419548387144,2.052201488094088
3.522799107889236,2.005740455526174
3.567694876742268,2.260394282079271
3.62834674875646,2.150137514987517
3.671762214481095,2.289722178993074
3.719233305215038,2.232149804037713
3.776458174096364,2.261780050404236
3.827944333589521,2.398567981972137
3.870122833686317,2.549415163091499
3.919743405675193,2.486551672713545
3.977961902683799,2.442030715800581
4.02145848090862,2.389598281541454
4.073877434153918,2.508497203823444
4.128425590529101,2.625934770417289
4.1743961000096,2.768467341586862
4.22592281575285,2.743876252765667
4.277043968995169,2.853553516739708
4.32780011598665,2.927981873684187
4.379671559855691,3.058067725716803
4.421424219326511,3.164847474102281
4.47816241320672,3.364347721321776
4.520198966428191,3.044713958221686
4.566351979034108,3.001049658091429
4.628179982300999,3.033098700079708
4.628179982300999,3.033098700079708
4.677232766788571,2.86476564227806
4.719532935635646,3.080794326246227
4.778643670146302,3.131513446939943
4.82216052649617,2.99669078681472
4.875938114119585,3.118008504718467
4.924727282981552,2.876557270934126
4.970596401836818,3.074520575102295
5.020054748825321,2.950985627878605
5.068276130185986,2.514493801302383
5.124730430315543,2.412627231523599
5.175587967932257,2.469065796031261
5.232711446188351,2.4061015225024
5.264466990011227,2.515501632811449
5.325727205776815,2.417767172219833
5.370359359004242,2.467377678253576
5.431416793519364,2.474608869331121
5.473940021741952,2.553496880703214
5.524696168733433,2.681592265505425
5.575857878225845,2.543468957188013
5.621787831456251,2.705780221722995
5.686637275355076,2.668994371642108
5.721089809809142,2.736745844839029
5.778760797441493,2.749898046032333
5.826576616301225,2.642891535557315
5.876623028916078,2.554403929061373
5.926993891531675,2.491061718716613
5.979615626027438,2.524395745878951
6.030533998019291,2.543670523489826
6.073685848118322,2.61439509963849
6.124847557610734,2.743825861190214
6.17540092335175,2.792554514653525
6.229219067225259,2.895907635908181
6.287782292359656,2.933172205955874
6.328379098702823,2.888928402707903
6.367130595666755,2.950582495274979
6.409025202012899,3.011127973182082
6.480769208427546,2.992911418655725
6.528848642912885,2.965573988972326
6.576644183647572,3.120578475066584
6.630239268145568,3.171247204184846
6.679292052633141,3.129422196558632
6.721653055855356,3.081827353543019
6.783623005997572,3.193570672110645
6.81625050919745,3.030276771854325
6.878281293714806,3.021206288272736
6.925002093822026,3.085707504852921
6.971844562679526,3.180997974035054
7.029921112812807,3.376340916279654
7.065286162893967,3.24003170467856
7.131838969296701,3.265277883980648
7.173571350642473,3.059907018220847
7.226193085138235,3.296067136582595
7.270054669613895,3.440590174982573
7.320891929105562,3.240485228857639
7.384403016751315,3.248497489354709
7.43672057937138,3.248497489354709
7.482508585726459,3.23942700577312
7.531378867088613,3.686727825284068
7.570292589052917,3.506099223071823
7.630113057940201,3.48170970055244
7.70037676122645,3.461301112493866
7.723899386280433,3.680101333111963
7.774189136395844,3.537140433551037
7.817239595869641,3.386847559761661
7.872193314745756,3.461477483007953
7.929195124251571,3.83802853058251
7.981228793120984,3.564351884295803
8.029632677607067,3.615852074409044
8.419074069125806,3.228542425475214
8.479300100514019,3.72706628143441
8.529387069378963,3.48710159912594
8.570653053848666,3.674684238750737
8.625099819598617,2.919390110069405
